code,date,close
1438,2025-08-18,1923.7
1438,2025-08-25,1897.24
1438,2025-09-01,1939.38
1438,2025-09-08,1956.04
1438,2025-09-15,1974.66
1438,2025-09-22,1917.82
1438,2025-09-29,1905.95
1438,2025-10-06,1927.71
1438,2025-10-13,1926.72
1438,2025-10-20,1910.9
1438,2025-10-27,1880.24
1438,2025-11-03,1879.25
1438,2025-11-10,1942.55
1438,2025-11-17,1839.68
1438,2025-11-24,1829.79
1438,2025-12-01,1833.75
1438,2025-12-08,1806.05
1438,2025-12-15,1802.1
1438,2025-12-22,1764.51
1438,2025-12-29,1795.17
1438,2026-01-05,1770.45
1438,2026-01-12,1772.43
1438,2026-01-19,1774.4
1438,2026-01-26,1755.61
1438,2026-02-02,1751.66
1438,2026-02-09,1790.23
1438,2026-02-16,1859.46
1438,2026-02-23,1862.43
1438,2026-03-02,1810.01
1438,2026-03-09,1828.8
1438,2026-03-16,1818.91
1438,2026-03-23,1811.0
1438,2026-03-30,1810.0
1438,2026-04-06,1849.0
1438,2026-04-13,1869.0
1438,2026-04-20,1910.0
1438,2026-04-27,1860.0
1438,2026-05-04,1863.0
1438,2026-05-11,1950.0
1438,2026-05-18,1899.0
1438,2026-05-25,1833.0
1438,2026-06-01,1856.0
1438,2026-06-08,1831.0
1438,2026-06-15,1872.0
1438,2026-06-22,1890.0
1438,2026-06-29,1879.0
1438,2026-07-06,1896.0
1438,2026-07-13,1871.0
1438,2026-07-20,1931.0
1438,2026-07-27,1965.0
1438,2026-08-03,2145.0
1795,2025-08-18,4190.34
1795,2025-08-25,4344.83
1795,2025-09-01,4344.83
1795,2025-09-08,4368.97
1795,2025-09-15,4325.52
1795,2025-09-22,4480.0
1795,2025-09-29,4425.0
1795,2025-10-06,4300.0
1795,2025-10-13,4365.0
1795,2025-10-20,4400.0
1795,2025-10-27,4325.0
1795,2025-11-03,4270.0
1795,2025-11-10,4500.0
1795,2025-11-17,4380.0
1795,2025-11-24,4390.0
1795,2025-12-01,4390.0
1795,2025-12-08,4370.0
1795,2025-12-15,4440.0
1795,2025-12-22,4380.0
1795,2025-12-29,4405.0
1795,2026-01-05,4490.0
1795,2026-01-12,4575.0
1795,2026-01-19,4675.0
1795,2026-01-26,4710.0
1795,2026-02-02,4710.0
1795,2026-02-09,4415.0
1795,2026-02-16,4530.0
1795,2026-02-23,4685.0
1795,2026-03-02,4660.0
1795,2026-03-09,4585.0
1795,2026-03-16,4565.0
1795,2026-03-23,4715.0
1795,2026-03-30,4720.0
1795,2026-04-06,4780.0
1795,2026-04-13,4800.0
1795,2026-04-20,4770.0
1795,2026-04-27,4710.0
1795,2026-05-04,4870.0
1795,2026-05-11,4795.0
1795,2026-05-18,4885.0
1795,2026-05-25,4810.0
1795,2026-06-01,4830.0
1795,2026-06-08,4795.0
1795,2026-06-15,4845.0
1795,2026-06-22,4920.0
1795,2026-06-29,4900.0
1795,2026-07-06,5200.0
1795,2026-07-13,5500.0
1795,2026-07-20,5400.0
1795,2026-07-27,5500.0
1795,2026-08-03,5550.0
1847,2025-08-18,1681.63
1847,2025-08-25,1703.07
1847,2025-09-01,1748.33
1847,2025-09-08,1767.38
1847,2025-09-15,1743.56
1847,2025-09-22,1748.33
1847,2025-09-29,1731.35
1847,2025-10-06,1762.88
1847,2025-10-13,1760.45
1847,2025-10-20,1835.62
1847,2025-10-27,1871.99
1847,2025-11-03,2126.61
1847,2025-11-10,2082.96
1847,2025-11-17,2080.53
1847,2025-11-24,2218.75
1847,2025-12-01,2213.9
1847,2025-12-08,2230.87
1847,2025-12-15,2315.74
1847,2025-12-22,2356.97
1847,2025-12-29,2323.02
1847,2026-01-05,2439.41
1847,2026-01-12,2478.21
1847,2026-01-19,2417.59
1847,2026-01-26,2420.01
1847,2026-02-02,2521.86
1847,2026-02-09,2769.19
1847,2026-02-16,2861.34
1847,2026-02-23,3205.67
1847,2026-03-02,3016.53
1847,2026-03-09,2904.99
1847,2026-03-16,2788.59
1847,2026-03-23,2662.5
1847,2026-03-30,2682.0
1847,2026-04-06,2729.0
1847,2026-04-13,2723.0
1847,2026-04-20,2704.0
1847,2026-04-27,2735.0
1847,2026-05-04,2746.0
1847,2026-05-11,2552.0
1847,2026-05-18,2516.0
1847,2026-05-25,2542.0
1847,2026-06-01,2563.0
1847,2026-06-08,2586.0
1847,2026-06-15,2685.0
1847,2026-06-22,2587.0
1847,2026-06-29,2675.0
1847,2026-07-06,2652.0
1847,2026-07-13,2663.0
1847,2026-07-20,2759.0
1847,2026-07-27,2640.0
1847,2026-08-03,3260.0
1899,2025-08-18,2819.18
1899,2025-08-25,2848.2
1899,2025-09-01,3186.69
1899,2025-09-08,3239.89
1899,2025-09-15,3177.02
1899,2025-09-22,3380.12
1899,2025-09-29,3225.38
1899,2025-10-06,3264.06
1899,2025-10-13,3331.76
1899,2025-10-20,3389.79
1899,2025-10-27,3326.93
1899,2025-11-03,3438.15
1899,2025-11-10,3510.68
1899,2025-11-17,3660.59
1899,2025-11-24,3849.18
1899,2025-12-01,3742.79
1899,2025-12-08,3776.64
1899,2025-12-15,3747.63
1899,2025-12-22,3825.0
1899,2025-12-29,3760.0
1899,2026-01-05,3985.0
1899,2026-01-12,4115.0
1899,2026-01-19,4125.0
1899,2026-01-26,3900.0
1899,2026-02-02,4175.0
1899,2026-02-09,3710.0
1899,2026-02-16,3680.0
1899,2026-02-23,3925.0
1899,2026-03-02,3785.0
1899,2026-03-09,3795.0
1899,2026-03-16,3965.0
1899,2026-03-23,4155.0
1899,2026-03-30,4315.0
1899,2026-04-06,4290.0
1899,2026-04-13,4105.0
1899,2026-04-20,4070.0
1899,2026-04-27,4215.0
1899,2026-05-04,4215.0
1899,2026-05-11,4090.0
1899,2026-05-18,3785.0
1899,2026-05-25,3745.0
1899,2026-06-01,3675.0
1899,2026-06-08,3620.0
1899,2026-06-15,3970.0
1899,2026-06-22,3785.0
1899,2026-06-29,3655.0
1899,2026-07-06,3760.0
1899,2026-07-13,3720.0
1899,2026-07-20,3900.0
1899,2026-07-27,3870.0
1899,2026-08-03,4440.0
2108,2025-08-18,2625.27
2108,2025-08-25,2618.53
2108,2025-09-01,2703.28
2108,2025-09-08,2812.1
2108,2025-09-15,2800.55
2108,2025-09-22,2805.36
2108,2025-09-29,2803.43
2108,2025-10-06,2715.8
2108,2025-10-13,2743.73
2108,2025-10-20,2903.59
2108,2025-10-27,2880.48
2108,2025-11-03,2990.27
2108,2025-11-10,3192.51
2108,2025-11-17,3491.05
2108,2025-11-24,3500.68
2108,2025-12-01,3462.16
2108,2025-12-08,3500.68
2108,2025-12-15,3505.5
2108,2025-12-22,3659.58
2108,2025-12-29,3688.48
2108,2026-01-05,3808.86
2108,2026-01-12,3895.53
2108,2026-01-19,4015.91
2108,2026-01-26,3987.02
2108,2026-02-02,4011.1
2108,2026-02-09,4237.41
2108,2026-02-16,4155.55
2108,2026-02-23,4352.98
2108,2026-03-02,4126.66
2108,2026-03-09,3972.58
2108,2026-03-16,4044.8
2108,2026-03-23,4170.0
2108,2026-03-30,4140.0
2108,2026-04-06,4020.0
2108,2026-04-13,4000.0
2108,2026-04-20,4000.0
2108,2026-04-27,4020.0
2108,2026-05-04,3975.0
2108,2026-05-11,4240.0
2108,2026-05-18,4280.0
2108,2026-05-25,4280.0
2108,2026-06-01,4315.0
2108,2026-06-08,4570.0
2108,2026-06-15,4600.0
2108,2026-06-22,4680.0
2108,2026-06-29,4975.0
2108,2026-07-06,4720.0
2108,2026-07-13,4645.0
2108,2026-07-20,4960.0
2108,2026-07-27,5040.0
2108,2026-08-03,5170.0
2146,2025-08-18,168.87
2146,2025-08-25,168.87
2146,2025-09-01,171.72
2146,2025-09-08,170.17
2146,2025-09-15,170.91
2146,2025-09-22,173.34
2146,2025-09-29,172.11
2146,2025-10-06,173.31
2146,2025-10-13,172.55
2146,2025-10-20,174.38
2146,2025-10-27,173.44
2146,2025-11-03,174.83
2146,2025-11-10,168.45
2146,2025-11-17,170.6
2146,2025-11-24,176.97
2146,2025-12-01,171.92
2146,2025-12-08,180.57
2146,2025-12-15,183.41
2146,2025-12-22,187.57
2146,2025-12-29,190.83
2146,2026-01-05,196.58
2146,2026-01-12,208.09
2146,2026-01-19,209.05
2146,2026-01-26,197.54
2146,2026-02-02,203.29
2146,2026-02-09,192.75
2146,2026-02-16,193.7
2146,2026-02-23,206.17
2146,2026-03-02,200.42
2146,2026-03-09,186.99
2146,2026-03-16,187.95
2146,2026-03-23,194.66
2146,2026-03-30,192.71
2146,2026-04-06,188.79
2146,2026-04-13,185.86
2146,2026-04-20,179.01
2146,2026-04-27,178.03
2146,2026-05-04,179.99
2146,2026-05-11,178.03
2146,2026-05-18,170.21
2146,2026-05-25,175.1
2146,2026-06-01,173.14
2146,2026-06-08,170.21
2146,2026-06-15,171.19
2146,2026-06-22,169.23
2146,2026-06-29,177.0
2146,2026-07-06,179.0
2146,2026-07-13,181.0
2146,2026-07-20,181.0
2146,2026-07-27,184.0
2146,2026-08-03,183.0
2170,2025-08-18,573.97
2170,2025-08-25,549.73
2170,2025-09-01,538.1
2170,2025-09-08,527.44
2170,2025-09-15,517.74
2170,2025-09-22,527.44
2170,2025-09-29,497.25
2170,2025-10-06,498.23
2170,2025-10-13,486.5
2170,2025-10-20,497.25
2170,2025-10-27,481.62
2170,2025-11-03,481.62
2170,2025-11-10,477.71
2170,2025-11-17,483.57
2170,2025-11-24,499.2
2170,2025-12-01,478.69
2170,2025-12-08,483.57
2170,2025-12-15,496.27
2170,2025-12-22,499.2
2170,2025-12-29,503.24
2170,2026-01-05,518.01
2170,2026-01-12,519.98
2170,2026-01-19,519.98
2170,2026-01-26,495.36
2170,2026-02-02,492.41
2170,2026-02-09,553.47
2170,2026-02-16,508.16
2170,2026-02-23,553.47
2170,2026-03-02,548.54
2170,2026-03-09,547.56
2170,2026-03-16,528.85
2170,2026-03-23,535.74
2170,2026-03-30,602.32
2170,2026-04-06,576.52
2170,2026-04-13,546.75
2170,2026-04-20,520.95
2170,2026-04-27,564.61
2170,2026-05-04,569.58
2170,2026-05-11,527.9
2170,2026-05-18,545.76
2170,2026-05-25,558.66
2170,2026-06-01,558.66
2170,2026-06-08,546.75
2170,2026-06-15,540.8
2170,2026-06-22,527.9
2170,2026-06-29,565.0
2170,2026-07-06,585.0
2170,2026-07-13,597.0
2170,2026-07-20,597.0
2170,2026-07-27,633.0
2170,2026-08-03,640.0
2179,2025-08-18,748.97
2179,2025-08-25,758.7
2179,2025-09-01,765.51
2179,2025-09-08,752.86
2179,2025-09-15,748.97
2179,2025-09-22,759.67
2179,2025-09-29,775.46
2179,2025-10-06,767.56
2179,2025-10-13,772.5
2179,2025-10-20,768.55
2179,2025-10-27,767.56
2179,2025-11-03,775.46
